iter	RMSE
283	56.9909795
284	56.99074931
285	56.99059991
286	56.99042455
287	56.99034263
288	56.99015295
289	56.99000564
290	56.98985852
291	56.98970379
292	56.98954264
293	56.98938554
294	56.98928327
295	56.98914531
296	56.98906008
297	56.98895347
298	56.98884217
299	56.98872002
300	56.98860417
301	56.98849359
302	56.98836607
303	56.98823042
304	56.9881349
305	56.98801605
306	56.98794173
307	56.98785291
308	56.98778219
309	56.98767743
310	56.98761237
311	56.98752043
312	56.98741845
313	56.9873184
314	56.98722739
315	56.98713062
316	56.98701428
317	56.98691325
318	56.98680987
319	56.98675552
320	56.98666855
321	56.98662934
322	56.98651534
323	56.98636419
324	56.9862726
325	56.98612933
326	56.98599935
327	56.98591452
328	56.98578009
329	56.98570458
330	56.98562012
331	56.98553324
332	56.98543359
333	56.98535512
334	56.98528298
335	56.98519466
336	56.98512437
337	56.98503698
338	56.98492632
339	56.98479724
340	56.98471716
341	56.9846053
342	56.98449254
343	56.98438258
344	56.98429007
345	56.98422527
346	56.98410169
347	56.98399301
348	56.98391819
349	56.98383049
350	56.98376418
351	56.98367931
352	56.98357874
353	56.98350889
354	56.98346519
355	56.98337033
356	56.98328102
357	56.98320645
358	56.98312272
359	56.98306702
360	56.98295818
361	56.98287255
362	56.98279309
363	56.98274402
364	56.98269853
365	56.98264013
366	56.98256659
367	56.98251051
368	56.9824964
369	56.98242023
370	56.9823207
371	56.98224096
372	56.98219704
373	56.98212266
374	56.9820917
375	56.98200391
376	56.981948
377	56.98190726
378	56.98181797
379	56.98176412
380	56.98169016
381	56.98162147
382	56.98155367
383	56.98148961
384	56.98142563
385	56.98134763
386	56.98128722
387	56.98119993
388	56.98112897
389	56.98108639
390	56.98103244
391	56.98095934
392	56.98091969
393	56.98083162
394	56.98079093
395	56.98074087
396	56.98065836
397	56.98056696
398	56.98053688
399	56.98046125
400	56.98042925
401	56.98037446
402	56.98032302
403	56.98027106
404	56.98021706
405	56.98017144
406	56.98011447
407	56.98001312
408	56.97997319
409	56.97989064
410	56.97982728
411	56.97976131
412	56.97970135
413	56.97965966
414	56.97959737
415	56.97953294
416	56.97949257
417	56.97946255
418	56.97944166
419	56.97938572
420	56.97932186
421	56.97927319
422	56.9792089
423	56.97914984
424	56.97913234
425	56.97907762
426	56.97900961
427	56.9789703
428	56.97892925
429	56.97892364
430	56.97886619
431	56.97880577
432	56.97876606
433	56.97872311
434	56.97868267
435	56.97863559
436	56.97860881
437	56.97853068
438	56.97848297
439	56.97842711
440	56.9783622
441	56.97832011
442	56.97828035
443	56.97824218
444	56.97820861
445	56.97817723
446	56.97815559
447	56.97810577
448	56.97808298
449	56.97805173
450	56.97801897
451	56.9779827
452	56.97794435
453	56.97790918
454	56.97786927
455	56.97784981
456	56.97780797
457	56.97777782
458	56.97772305
459	56.97768343
460	56.97766439
461	56.97762807
462	56.97757781
463	56.97754585
464	56.97750334
465	56.97745832
466	56.97741385
467	56.97740557
468	56.97738131
469	56.97733643
470	56.97730392
471	56.97726429
472	56.97723572
473	56.97718048
474	56.97714369
475	56.97712115
476	56.97705791
477	56.97703285
478	56.97699984
479	56.97698335
480	56.97693908
481	56.97691695
482	56.97687718
483	56.97685512
484	56.97681764
485	56.97679206
486	56.97677902
487	56.97674512
488	56.976723
489	56.97668337
490	56.97664226
491	56.97661124
492	56.97659024
493	56.97657116
494	56.97652742
495	56.97651351
496	56.97650457
497	56.976453
498	56.97642567
499	56.97640105
500	56.97637677
501	56.97635571
502	56.97633808
503	56.97628706
504	56.97625892
505	56.97625063
506	56.97623303
507	56.97620236
508	56.97617047
509	56.97613533
510	56.97610648
511	56.97608653
512	56.97604359
513	56.97602802
514	56.97599951
515	56.97597027
516	56.97595393
517	56.97592259
518	56.9758771
519	56.97584719
520	56.97581897
521	56.97577684
522	56.97575324
523	56.97572863
524	56.97568936
525	56.97567565
526	56.97564892
527	56.97563146
528	56.97559867
529	56.97555251
530	56.97553023
531	56.97551263
532	56.97547126
533	56.9754535
534	56.9754326
535	56.97540702
536	56.9753744
537	56.97534675
538	56.97531367
539	56.97530444
540	56.97527517
541	56.97524915
542	56.97523469
543	56.97522641
544	56.97521131
545	56.97516731
546	56.97513616
547	56.97512548
548	56.97511865
549	56.97510145
550	56.97507944
551	56.97505013
552	56.97501184
553	56.97497462
554	56.97495429
555	56.97491655
556	56.97488548
557	56.97486967
558	56.97485025
559	56.97479981
560	56.9747754
561	56.97474365
562	56.97473058
563	56.97471298
564	56.97470087
565	56.97466846
566	56.97465176
567	56.97462811
568	56.974618
569	56.97459606
570	56.97457775
571	56.97456786
572	56.97455415
573	56.97454469
574	56.97453264
575	56.97450078
576	56.97446618
577	56.97443787
578	56.97441153
579	56.97439258
580	56.97437487
581	56.97434769
582	56.97431973
583	56.97428762
584	56.97424742
585	56.97423473
586	56.97421552
587	56.97420183
588	56.97417872
589	56.97416265
590	56.97414881
591	56.97413008
592	56.974102
593	56.97410186
594	56.97405985
595	56.97405208
596	56.97403263
597	56.97401996
598	56.97399508
599	56.97396979
600	56.9739498
601	56.97393467
602	56.97392079
603	56.97390261
604	56.97387865
605	56.97386713
606	56.97384474
607	56.97382874
608	56.97381791
609	56.97379731
610	56.97376335
611	56.97374464
612	56.97372977
613	56.9737222
614	56.9737086
615	56.97367299
616	56.97365069
617	56.97363184
618	56.97361316
619	56.97361268
620	56.97359911
621	56.97357401
622	56.97356229
623	56.97355218
624	56.97354625
625	56.97352606
626	56.97349112
627	56.97347541
628	56.9734486
629	56.97342503
630	56.97340306
631	56.97339201
632	56.97338364
633	56.9733566
634	56.97334055
635	56.97332324
636	56.97331824
637	56.97331172
638	56.97329173
639	56.9732823
640	56.97326541
641	56.97324965
642	56.97324791
643	56.97322435
644	56.97321002
645	56.97319766
646	56.97318044
647	56.97317015
648	56.97315905
649	56.97314916
650	56.9731315
651	56.97311548
652	56.97310923
653	56.97310066
654	56.97307944
655	56.97306904
656	56.97305904
657	56.9730401
658	56.97303406
659	56.97302097
660	56.97299948
661	56.97299486
662	56.97299346
663	56.97298034
664	56.97296922
665	56.97294775
666	56.97293904
667	56.97292164
668	56.97288768
669	56.97288047
670	56.97287281
671	56.97286011
672	56.97284933
