iter	RMSE
0	58.22740869
1	58.1989706
2	58.17126642
3	58.14416927
4	58.11819713
5	58.09316359
6	58.0686034
7	58.04405293
8	58.02018032
9	57.99701234
10	57.97461658
11	57.95244295
12	57.93072299
13	57.90873281
14	57.88827904
15	57.86815295
16	57.84787929
17	57.82846753
18	57.81027412
19	57.79220977
20	57.77404532
21	57.75702897
22	57.73968988
23	57.72364125
24	57.7077968
25	57.691638
26	57.67620076
27	57.6607759
28	57.64616973
29	57.63172392
30	57.6173472
31	57.60354865
32	57.59018899
33	57.57677956
34	57.56382687
35	57.55097617
36	57.5389681
37	57.52628573
38	57.51420197
39	57.50248576
40	57.49173221
41	57.48039159
42	57.46949726
43	57.45885994
44	57.44852452
45	57.43883886
46	57.4287347
47	57.42030961
48	57.41114628
49	57.40232006
50	57.393759
51	57.38531792
52	57.37684068
53	57.3687515
54	57.36051042
55	57.35277153
56	57.34466359
57	57.33696222
58	57.32963916
59	57.32216219
60	57.31499041
61	57.30846077
62	57.30198799
63	57.29541539
64	57.28875839
65	57.28252195
66	57.27700708
67	57.2709734
68	57.26521076
69	57.25926644
70	57.25323785
71	57.24820263
72	57.24265612
73	57.23759769
74	57.23252156
75	57.22748012
76	57.2224671
77	57.21768125
78	57.21316098
79	57.20879166
80	57.20498869
81	57.2007476
82	57.19640751
83	57.19205682
84	57.18812411
85	57.18418124
86	57.18010639
87	57.17657251
88	57.17300143
89	57.1692265
90	57.16555142
91	57.16190996
92	57.15870202
93	57.15511066
94	57.1518722
95	57.1485487
96	57.14515337
97	57.14226428
98	57.13917782
99	57.13612824
100	57.13320458
101	57.13039045
102	57.12759539
103	57.12464208
104	57.12207559
105	57.11952166
106	57.11698315
107	57.11453678
108	57.11203587
109	57.10953782
110	57.10707547
111	57.10489057
112	57.1028363
113	57.10116243
114	57.09957022
115	57.09749626
116	57.09550807
117	57.09364425
118	57.09149957
119	57.08963678
120	57.08751102
121	57.08549586
122	57.08371145
123	57.08214133
124	57.08024201
125	57.07858342
126	57.07714902
127	57.07554042
128	57.07389864
129	57.07229181
130	57.0704806
131	57.06883697
132	57.06716327
133	57.06578442
134	57.06447241
135	57.06295946
136	57.06159926
137	57.06010889
138	57.05878172
139	57.05745476
140	57.05624323
141	57.05499937
142	57.05363892
143	57.05263001
144	57.05145177
145	57.05037473
146	57.04930737
147	57.04814902
148	57.04699047
149	57.04600721
150	57.04530207
151	57.04408964
152	57.04306139
153	57.04201512
154	57.04112549
155	57.04004067
156	57.03915471
157	57.03842889
158	57.03759248
159	57.03668662
160	57.03585924
161	57.0350962
162	57.03427952
163	57.03357347
164	57.03276044
165	57.03204334
166	57.0313738
167	57.0307869
168	57.0299944
169	57.02929834
170	57.02849791
171	57.02782179
172	57.02708177
173	57.02650477
174	57.02587272
175	57.02523639
176	57.02465982
177	57.02407667
178	57.02346729
179	57.02300618
180	57.02236661
181	57.02172515
182	57.02115684
183	57.02061046
184	57.02019053
185	57.01953857
186	57.01914094
187	57.01842707
188	57.01796048
189	57.01738301
190	57.01687851
191	57.01635425
192	57.01589959
193	57.01541243
194	57.01488515
195	57.01437432
196	57.01384504
197	57.01345486
198	57.01308188
199	57.01252136
200	57.01213472
201	57.01180669
202	57.01136171
203	57.01093395
204	57.01059463
205	57.01018614
206	57.00980168
207	57.00936799
208	57.00897986
209	57.00851174
210	57.00817361
211	57.00781981
212	57.00751576
213	57.00709912
214	57.00675659
215	57.00648717
216	57.00616038
217	57.0058305
218	57.00544394
219	57.005125
220	57.004797
221	57.00457124
222	57.00431417
223	57.00394034
224	57.00357659
225	57.00325854
226	57.00301486
227	57.00256996
228	57.00224686
229	57.00203047
230	57.00181614
231	57.00160999
232	57.00125294
233	57.00104188
234	57.00076608
235	57.00047288
236	57.00027543
237	57.00004312
238	56.99980831
239	56.99960069
240	56.99935912
241	56.99908495
242	56.99890233
243	56.99869049
244	56.99839922
245	56.99828462
246	56.99815269
247	56.99784162
248	56.99760289
249	56.99744641
250	56.99722811
251	56.99695721
252	56.99677944
253	56.99662695
254	56.99647049
255	56.99618569
256	56.9959642
257	56.99575059
258	56.99551025
259	56.99535302
260	56.99517626
261	56.99497832
262	56.99480215
263	56.9945976
264	56.99435336
265	56.9941506
266	56.99399242
267	56.99381566
268	56.99359683
269	56.99343297
270	56.99320628
271	56.99304123
272	56.99293113
273	56.99271422
274	56.99251493
275	56.99236111
276	56.99220814
277	56.99206743
278	56.9918505
279	56.99168704
280	56.99151328
281	56.99137299
282	56.99119523
