iter	Passed	Remaining
266	55894	79968
267	56129	79795
268	56202	79394
269	56412	79186
270	56602	78951
271	56810	78741
272	56993	78496
273	57231	78327
274	57439	78117
275	57656	77919
276	57857	77700
277	58066	77491
278	58261	77263
279	58480	77068
280	58676	76843
281	58888	76638
282	59088	76418
283	59299	76211
284	59516	76014
285	59724	75804
286	59941	75606
287	60139	75382
288	60343	75167
289	60567	74978
290	60775	74768
291	60989	74565
292	61312	74495
293	61371	74105
294	61570	73884
295	61810	73712
296	62031	73518
297	62242	73311
298	62469	73124
299	62655	72889
300	62854	72669
301	63080	72480
302	63288	72270
303	63513	72078
304	63729	71878
305	63939	71670
306	64170	71486
307	64387	71285
308	64605	71086
309	64804	70867
310	65017	70662
311	65225	70451
312	65467	70278
313	65653	70043
314	65859	69832
315	66049	69602
316	66254	69389
317	66448	69165
318	66661	68960
319	66840	68720
320	67056	68518
321	67247	68291
322	67458	68085
323	67645	67854
324	67859	67651
325	68053	67427
326	68257	67214
327	68450	66989
328	68668	66789
329	68851	66556
330	69062	66350
331	69256	66127
332	69475	65928
333	69701	65736
334	69899	65517
335	70120	65320
336	70313	65097
337	70528	64894
338	70709	64660
339	70950	64481
340	71146	64261
341	71361	64058
342	71568	63848
343	71777	63639
344	72016	63458
345	72238	63261
346	72444	63049
347	72657	62844
348	72845	62617
349	73058	62412
350	73254	62192
351	73483	62001
352	73680	61782
353	73878	61565
354	74076	61347
355	74312	61162
356	74512	60945
357	74715	60732
358	74902	60506
359	75109	60296
360	75304	60076
361	75548	59896
362	75734	59669
363	75952	59467
364	76143	59246
365	76348	59034
366	76550	58820
367	76773	58623
368	76970	58405
369	77184	58201
370	77381	57983
371	77596	57780
372	77791	57561
373	78005	57357
374	78201	57138
375	78418	56936
376	78622	56725
377	78822	56510
378	79015	56291
379	79234	56089
380	79427	55870
381	79644	55667
382	79839	55449
383	80077	55262
384	80281	55050
385	80501	54849
386	80724	54650
387	80942	54448
388	81188	54264
389	81405	54061
390	81632	53864
391	81850	53661
392	82090	53473
393	82328	53283
394	82550	53083
395	82756	52872
396	82982	52674
397	83176	52455
398	83386	52246
399	83602	52042
400	83800	51826
401	84029	51630
402	84224	51412
403	84446	51211
404	84656	51003
405	84853	50786
406	85075	50585
407	85278	50372
408	85500	50171
409	85686	49949
410	85899	49742
411	86103	49530
412	86307	49318
413	86506	49103
414	86708	48890
415	86929	48689
416	87163	48494
417	87376	48286
418	87592	48081
419	87801	47872
420	88040	47679
421	88263	47478
422	88480	47273
423	88685	47062
424	88897	46854
425	89092	46637
426	89326	46441
427	89522	46225
428	89729	46015
429	89925	45799
430	90240	45643
431	90498	45458
432	90704	45247
433	90919	45040
434	91133	44833
435	91151	44530
436	91362	44322
437	91604	44129
438	91811	43919
439	92021	43710
440	92225	43498
441	92440	43292
442	92635	43076
443	92864	42876
444	93050	42656
445	93261	42448
446	93461	42235
447	93662	42022
448	93847	41803
449	94074	41602
450	94274	41388
451	94497	41186
452	94691	40970
453	94912	40766
454	95110	40552
455	95346	40354
456	95545	40141
457	95746	39929
458	95939	39713
459	96151	39505
460	96350	39292
461	96592	39096
462	96778	38878
463	96992	38671
464	97187	38456
465	97394	38247
466	97588	38032
467	97817	37831
468	97997	37610
469	98202	37400
470	98398	37186
471	98614	36980
472	98798	36762
473	99041	36565
474	99235	36351
475	99448	36144
476	99641	35929
477	99853	35721
478	100048	35507
479	100280	35307
480	100473	35092
481	100674	34881
482	100879	34670
483	101097	34464
484	101308	34256
485	101518	34048
486	101723	33838
487	101924	33626
488	102135	33418
489	102341	33208
490	102588	33012
491	102771	32794
492	102982	32586
493	103171	32371
494	103381	32163
495	103590	31954
496	103806	31747
497	104021	31540
498	104245	31336
499	104462	31129
500	104683	30924
501	104911	30721
502	105134	30516
503	105350	30309
504	105569	30103
505	105791	29897
506	106043	29700
507	106278	29498
508	106502	29293
509	106707	29083
510	106921	28875
511	107112	28660
512	107349	28459
513	107555	28248
514	107756	28037
515	107971	27829
516	108183	27621
517	108426	27420
518	108644	27213
519	108857	27005
520	109057	26793
521	109274	26585
522	109469	26373
523	109670	26161
524	109870	25950
525	110084	25742
526	110281	25530
527	110490	25320
528	110708	25113
529	110916	24903
530	111131	24695
531	111332	24484
532	111539	24274
533	111755	24067
534	111971	23859
535	112192	23652
536	112405	23443
537	112632	23238
538	112849	23030
539	113064	22822
540	113297	22617
541	113516	22410
542	113820	22219
543	114056	22014
544	114268	21805
545	114492	21598
546	114681	21384
547	114907	21178
548	115104	20966
549	115343	20761
550	115532	20548
551	115738	20338
552	115941	20127
553	116153	19917
554	116351	19706
555	116567	19497
556	116763	19285
557	116987	19078
558	117245	18876
559	117539	18680
560	117736	18468
561	117953	18259
562	118158	18049
563	118374	17840
564	118570	17628
565	118766	17416
566	118954	17203
567	119176	16995
568	119371	16783
569	119592	16575
570	119781	16362
571	119990	16152
572	120202	15943
573	120416	15733
574	120649	15527
575	120871	15318
576	121098	15111
577	121320	14902
578	121547	14694
579	121768	14486
580	121984	14276
581	122211	14068
582	122447	13861
583	122665	13652
584	122887	13444
585	123096	13233
586	123309	13024
587	123517	12813
588	123731	12604
589	123967	12396
590	124189	12187
591	124410	11978
592	124622	11768
593	124824	11557
594	125038	11348
595	125245	11137
596	125471	10928
597	125653	10716
598	125864	10506
599	126084	10296
600	126305	10087
601	126523	9878
602	126742	9668
603	126964	9459
604	127200	9250
605	127436	9042
606	127644	8832
607	127857	8621
608	128076	8412
609	128324	8204
610	128537	7994
611	128737	7783
612	128932	7571
613	129144	7361
614	129341	7150
615	129581	6941
616	129766	6730
617	129981	6520
618	130173	6308
619	130384	6098
620	130574	5887
621	130817	5678
622	131006	5467
623	131217	5257
624	131413	5046
625	131625	4836
626	131805	4624
627	132042	4415
628	132244	4204
629	132454	3994
630	132641	3783
631	132857	3573
632	133063	3363
633	133271	3153
634	133495	2943
635	133699	2732
636	133909	2522
637	134109	2312
638	134340	2102
639	134542	1892
640	134736	1681
641	134936	1471
642	135155	1261
643	135385	1051
644	135596	840
645	135828	630
646	136051	420
647	136278	210
648	136518	0
